participant_id,identity,reward_1,reward_2,reward_3,probed_identity,probed_reward,context_rwd,age,choice
22.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.16666666666666666,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.125,9.06,1.0
22.0,0.0,0.0,1.0,0.0,1.0,1.0,0.16666666666666666,9.06,1.0
22.0,0.0,0.0,1.0,0.0,1.0,1.0,0.16666666666666666,9.06,1.0
22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,1.0,1.0,1.0,-0.1111111111111111,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,1.0,1.0,-0.1111111111111111,9.06,1.0
22.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.1111111111111111,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,0.0,1.0,-1.0,-0.1111111111111111,9.06,1.0
22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.16666666666666666,9.06,1.0
22.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,9.06,1.0
22.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,9.06,1.0
22.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,9.06,1.0
22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,9.06,1.0
22.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.16666666666666666,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,1.0,-1.0,-0.1111111111111111,9.06,1.0
22.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.1111111111111111,9.06,1.0
22.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.125,9.06,1.0
22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.1111111111111111,9.06,1.0
22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,9.06,1.0
22.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.125,9.06,1.0
22.0,0.0,0.0,1.0,0.0,1.0,1.0,0.16666666666666666,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,9.06,1.0
22.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,-1.0,-1.0,1.0,0.0,9.06,1.0
22.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.125,9.06,1.0
22.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.125,9.06,1.0
22.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,1.0,1.0,-0.1111111111111111,9.06,1.0
22.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.14285714285714285,9.06,0.0
22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,9.06,0.0
22.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.36363636363636365,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.36363636363636365,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-0.14285714285714285,9.06,0.0
22.0,0.0,0.0,1.0,0.0,1.0,1.0,0.14285714285714285,9.06,0.0
22.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.14285714285714285,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,9.06,0.0
22.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-0.45454545454545453,9.06,0.0
22.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,9.06,1.0
22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,1.0,1.0,1.0,0.14285714285714285,9.06,1.0
22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,9.06,1.0
22.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-0.45454545454545453,9.06,0.0
22.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,9.06,0.0
22.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-0.14285714285714285,9.06,0.0
22.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-0.14285714285714285,9.06,0.0
22.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.14285714285714285,9.06,0.0
22.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.36363636363636365,9.06,0.0
22.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-0.14285714285714285,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.14285714285714285,9.06,0.0
22.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.14285714285714285,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.45454545454545453,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.14285714285714285,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,9.06,0.0
22.0,0.0,0.0,1.0,0.0,-1.0,1.0,-0.14285714285714285,9.06,0.0
22.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,1.0
22.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.36363636363636365,9.06,0.0
22.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-0.14285714285714285,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-0.45454545454545453,9.06,0.0
22.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.14285714285714285,9.06,0.0
22.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.14285714285714285,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,1.0,-1.0,1.0,-0.45454545454545453,9.06,0.0
22.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,9.06,0.0
22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.36363636363636365,9.06,0.0
22.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.36363636363636365,9.06,0.0
22.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,9.06,0.0
22.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.36363636363636365,9.06,0.0
22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.06,0.0
22.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.06,0.0
